Stim,Condition,ITI,Painful,Negative
blank,blank,5,NA,NA
R_c_NE_P_32.bmp,no-go,4,1,0
R_c_E_NM_06.bmp,no-go,3.1,0,1
R_c_NE_P_53.bmp,no-go,3.1,1,0
R_c_NE_NM_60.bmp,no-go,2.5,0,0
L_c_NE_NM_19.bmp,go,4,0,0
blank,blank,5,NA,NA
R_c_E_P_03.bmp,no-go,2.8,1,1
R_c_E_NM_24.bmp,no-go,3.7,0,1
R_c_NE_NM_61.bmp,no-go,2.8,0,0
L_c_E_NM_18.bmp,go,2.8,0,1
R_c_NE_NM_49.bmp,no-go,4,0,0
blank,blank,5,NA,NA
R_c_NE_P_21.bmp,no-go,3.4,1,0
R_c_E_NM_18.bmp,no-go,3.1,0,1
R_c_E_NM_49.bmp,no-go,3.1,0,1
R_c_NE_NM_19.bmp,no-go,3.4,0,0
L_c_E_P_03.bmp,go,2.5,1,1
blank,blank,5,NA,NA
R_c_NE_P_13.bmp,no-go,2.8,1,0
R_c_NE_NM_30.bmp,no-go,3.1,0,0
R_c_NE_P_48.bmp,no-go,3.4,1,0
R_c_NE_P_41.bmp,no-go,3.1,1,0
R_c_E_NM_15.bmp,no-go,3.1,0,1
blank,blank,5,NA,NA
L_c_NE_P_45.bmp,go,3.4,1,0
R_c_NE_NM_29.bmp,no-go,3.1,0,0
R_c_E_P_05.bmp,no-go,2.8,1,1
R_c_E_NM_64.bmp,no-go,3.1,0,1
R_c_E_P_04.bmp,no-go,2.8,1,1
blank,blank,5,NA,NA
R_c_E_NM_54.bmp,no-go,4,0,1
R_c_NE_P_54.bmp,no-go,2.5,1,0
R_c_E_NM_03.bmp,no-go,2.8,0,1
R_c_NE_NM_50.bmp,no-go,4,0,0
R_c_E_P_49.bmp,no-go,4,1,1
blank,blank,5,NA,NA
L_c_E_NM_31.bmp,go,2.8,0,1
R_c_NE_P_35.bmp,no-go,2.5,1,0
R_c_NE_P_23.bmp,no-go,2.5,1,0
R_c_NE_NM_53.bmp,no-go,2.5,0,0
R_c_NE_NM_47.bmp,no-go,2.8,0,0
blank,blank,5,NA,NA
R_c_E_P_27.bmp,no-go,3.1,1,1
R_c_E_NM_07.bmp,no-go,2.5,0,1
L_c_E_P_45.bmp,go,2.8,1,1
R_c_E_NM_34.bmp,no-go,2.5,0,1
L_c_E_P_49.bmp,go,2.8,1,1
blank,blank,5,NA,NA
R_c_NE_P_44.bmp,no-go,2.5,1,0
R_c_NE_P_16.bmp,no-go,4,1,0
R_c_E_P_06.bmp,no-go,3.1,1,1
R_c_E_NM_57.bmp,no-go,2.8,0,1
L_c_NE_P_16.bmp,go,3.1,1,0
blank,blank,5,NA,NA
R_c_NE_NM_54.bmp,no-go,3.1,0,0
L_c_NE_NM_52.bmp,go,2.5,0,0
L_c_E_NM_30.bmp,go,2.8,0,1
R_c_NE_P_19.bmp,no-go,3.4,1,0
R_c_E_P_46.bmp,no-go,4,1,1
blank,blank,5,NA,NA
L_c_NE_P_46.bmp,go,4,1,0
R_c_E_P_48.bmp,no-go,3.7,1,1
L_c_E_P_44.bmp,go,2.5,1,1
L_c_E_P_33.bmp,go,3.1,1,1
R_c_NE_NM_28.bmp,no-go,4,0,0
blank,blank,5,NA,NA
R_c_E_P_22.bmp,no-go,3.4,1,1
R_c_NE_NM_33.bmp,no-go,2.5,0,0
R_c_E_NM_28.bmp,no-go,2.8,0,1
R_c_NE_NM_52.bmp,no-go,2.5,0,0
foot.bmp,no-go,3.4,0,0
blank,blank,5,NA,NA
R_c_E_NM_20.bmp,no-go,3.7,0,1
R_c_E_NM_59.bmp,no-go,2.5,0,1
R_c_E_NM_23.bmp,no-go,3.4,0,1
R_c_E_NM_60.bmp,no-go,3.1,0,1
L_c_NE_P_32.bmp,go,2.8,1,0
blank,blank,5,NA,NA
R_c_NE_P_24.bmp,no-go,3.4,1,0
L_c_E_NM_06.bmp,go,3.4,0,1
R_c_NE_P_51.bmp,no-go,3.4,1,0
R_c_NE_P_56.bmp,no-go,2.8,1,0
L_c_NE_P_03.bmp,go,3.7,1,0
blank,blank,5,NA,NA
R_c_NE_NM_27.bmp,no-go,2.5,0,0
R_c_E_NM_30.bmp,no-go,3.4,0,1
R_c_NE_NM_57.bmp,no-go,3.4,0,0
R_c_E_NM_41.bmp,no-go,2.5,0,1
R_c_E_NM_31.bmp,no-go,2.5,0,1
R_c_NE_P_42.bmp,no-go,3.1,1,0
